,house_fias_id,data,geo_lat,geo_lon,street,house,qc,result,qc_geo,ad_id
46744,5b66b6f7-9ab4-4fe5-be05-926d76d9b824,"{'source': 'Краснодарский край; Краснодар; Карасунский; Уральская улица; 75к1', 'result': 'г Краснодар, ул Уральская, д 75 к 1', 'postal_code': '350059', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Южный', 'region_fias_id': 'd00e1013-16bd-4c09-b3d5-3cb09fc54bd8', 'region_kladr_id': '2300000000000', 'region_iso_code': 'RU-KDA', 'region_with_type': 'Краснодарский край', 'region_type': 'край', 'region_type_full': 'край', 'region': 'Краснодарский', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': '7dfa745e-aa19-4688-b121-b655c11e482f', 'city_kladr_id': '2300000100000', 'city_with_type': 'г Краснодар', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Краснодар', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '11b7512d-1efb-4969-9cc6-3dae22d33e55', 'street_kladr_id': '23000001000078700', 'street_with_type': 'ул Уральская', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Уральская', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '5b66b6f7-9ab4-4fe5-be05-926d76d9b824', 'house_kladr_id': '2300000100007870492', 'house_cadnum': '23:43:0403001:1163', 'house_type': 'д', 'house_type_full': 'дом', 'house': '75', 'block_type': 'к', 'block_type_full': 'корпус', 'block': '1', 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '98374', 'flat_price': None, 'postal_box': None, 'fias_id': '5b66b6f7-9ab4-4fe5-be05-926d76d9b824', 'fias_code': '23000001000000007870492', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '2300000100007870492', 'capital_marker': '2', 'okato': '03401000000', 'oktmo': '03701000001', 'tax_office': '2312', 'tax_office_legal': '2312', 'timezone': 'UTC+3', 'geo_lat': '45.033283', 'geo_lon': '39.0441995', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",45.033283,39.0441995,Уральская,75,0,"г Краснодар, ул Уральская, д 75 к 1",0,286964767
7,05bdbeb1-0f60-49fa-96db-ccc9efb06782,"{'source': 'Томская область; Томск; р-н Советский; улица Мусы Джалиля; 32', 'result': 'г Томск, ул Мусы Джалиля, д 32', 'postal_code': '634050', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '7419e5ae-d73b-4ca6-a359-776c5a134efb', 'street_kladr_id': '70000001000048000', 'street_with_type': 'ул Мусы Джалиля', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Мусы Джалиля', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '05bdbeb1-0f60-49fa-96db-ccc9efb06782', 'house_kladr_id': '7000000100004800077', 'house_cadnum': '70:21:0200008:511', 'house_type': 'д', 'house_type_full': 'дом', 'house': '32', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '39187', 'flat_price': None, 'postal_box': None, 'fias_id': '05bdbeb1-0f60-49fa-96db-ccc9efb06782', 'fias_code': '70000001000000004800077', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100004800077', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4756088', 'geo_lon': '84.9411861', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4756088,84.9411861,Мусы Джалиля,32,0,"г Томск, ул Мусы Джалиля, д 32",0,286791142
8,599b0392-5468-43aa-9ba1-4f5bc4b4dd26,"{'source': 'Томская область; Томск; р-н Советский; Сибирская улица; 102', 'result': 'г Томск, ул Сибирская, д 102', 'postal_code': '634021', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '25cd6935-6515-47b9-9345-84d1d97e71d5', 'street_kladr_id': '70000001000070500', 'street_with_type': 'ул Сибирская', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Сибирская', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '599b0392-5468-43aa-9ba1-4f5bc4b4dd26', 'house_kladr_id': '7000000100007050053', 'house_cadnum': '70:21:0200007:1368', 'house_type': 'д', 'house_type_full': 'дом', 'house': '102', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '54786', 'flat_price': None, 'postal_box': None, 'fias_id': '599b0392-5468-43aa-9ba1-4f5bc4b4dd26', 'fias_code': '70000001000000007050053', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100007050053', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4831366', 'geo_lon': '85.0054335', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4831366,85.0054335,Сибирская,102,0,"г Томск, ул Сибирская, д 102",0,286790405
9,4fa76dc7-9e1f-49d6-a9d6-6187742687de,"{'source': 'Томская область; Томск; р-н Кировский; переулок Ботанический; 22/1', 'result': 'г Томск, пер Ботанический, д 22 стр 1', 'postal_code': '634033', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '92c6ea00-04c3-4143-83b3-e2bcbc134d4d', 'street_kladr_id': '70000001000009300', 'street_with_type': 'пер Ботанический', 'street_type': 'пер', 'street_type_full': 'переулок', 'street': 'Ботанический', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '4fa76dc7-9e1f-49d6-a9d6-6187742687de', 'house_kladr_id': '7000000100000930041', 'house_cadnum': '70:21:0200027:2375', 'house_type': 'д', 'house_type_full': 'дом', 'house': '22', 'block_type': 'стр', 'block_type_full': 'строение', 'block': '1', 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '93382', 'flat_price': None, 'postal_box': None, 'fias_id': '4fa76dc7-9e1f-49d6-a9d6-6187742687de', 'fias_code': '70000001000000000930041', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100000930041', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4523471', 'geo_lon': '85.0043431', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 1, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4523471,85.0043431,Ботанический,22,0,"г Томск, пер Ботанический, д 22 стр 1",1,286789406
12,75702c60-4ca0-41ab-bf74-0e126dd4001d,"{'source': 'Томская область; Томск; р-н Кировский; улица Матросова; 3', 'result': 'г Томск, ул Матросова, д 3', 'postal_code': '634012', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'f4776f27-9040-4d33-8154-64b6772f8870', 'street_kladr_id': '70000001000045000', 'street_with_type': 'ул Матросова', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Матросова', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '75702c60-4ca0-41ab-bf74-0e126dd4001d', 'house_kladr_id': '7000000100004500014', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '3', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '107489', 'flat_price': None, 'postal_box': None, 'fias_id': '75702c60-4ca0-41ab-bf74-0e126dd4001d', 'fias_code': '70000001000000004500014', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100004500014', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4603658', 'geo_lon': '84.97696', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4603658,84.97696,Матросова,3,0,"г Томск, ул Матросова, д 3",0,286816103
13,46c42d87-f436-4d80-ab3c-5997e6479011,"{'source': 'Томская область; Томск; р-н Кировский; улица Богдана Хмельницкого; 12', 'result': 'г Томск, ул Богдана Хмельницкого, д 12', 'postal_code': '634033', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '1c0c3578-251a-46ce-947a-60fa6d365a80', 'street_kladr_id': '70000001000083700', 'street_with_type': 'ул Богдана Хмельницкого', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Богдана Хмельницкого', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '46c42d87-f436-4d80-ab3c-5997e6479011', 'house_kladr_id': '7000000100008370015', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '12', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': '46c42d87-f436-4d80-ab3c-5997e6479011', 'fias_code': '70000001000000008370015', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100008370015', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.459807', 'geo_lon': '84.9999504', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.459807,84.9999504,Богдана Хмельницкого,12,0,"г Томск, ул Богдана Хмельницкого, д 12",0,286816101
14,6f78426c-b56c-4600-b398-5654fb0747ab,"{'source': 'Томская область; Томск; р-н Кировский; улица Елизаровых; 19/3', 'result': 'г Томск, ул Елизаровых, д 19/3', 'postal_code': '634012', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'da39ba9b-ca86-470c-a6fc-80c6ce56508c', 'street_kladr_id': '70000001000018700', 'street_with_type': 'ул Елизаровых', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Елизаровых', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '6f78426c-b56c-4600-b398-5654fb0747ab', 'house_kladr_id': '7000000100001870109', 'house_cadnum': '70:21:0200026:339', 'house_type': 'д', 'house_type_full': 'дом', 'house': '19/3', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '73389', 'flat_price': None, 'postal_box': None, 'fias_id': '6f78426c-b56c-4600-b398-5654fb0747ab', 'fias_code': '70000001000000001870109', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100001870109', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4575268', 'geo_lon': '84.9839376', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4575268,84.9839376,Елизаровых,19/3,0,"г Томск, ул Елизаровых, д 19/3",0,286792455
15,9320d145-eb09-41fa-ae6b-0678b202b143,"{'source': 'Томская область; Томск; р-н Кировский; переулок Богдана Хмельницкого; 5/1', 'result': 'г Томск, пер Богдана Хмельницкого, д 5/1', 'postal_code': '634033', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'd9ffd5e2-da2c-4784-b523-7c4d477440bb', 'street_kladr_id': '70000001000083800', 'street_with_type': 'пер Богдана Хмельницкого', 'street_type': 'пер', 'street_type_full': 'переулок', 'street': 'Богдана Хмельницкого', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '9320d145-eb09-41fa-ae6b-0678b202b143', 'house_kladr_id': '7000000100008380071', 'house_cadnum': '70:21:0200027:15342', 'house_type': 'д', 'house_type_full': 'дом', 'house': '5/1', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': '9320d145-eb09-41fa-ae6b-0678b202b143', 'fias_code': '70000001000000008380071', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100008380071', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4553156', 'geo_lon': '85.0201663', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4553156,85.0201663,Богдана Хмельницкого,5/1,0,"г Томск, пер Богдана Хмельницкого, д 5/1",0,286791150
16,d4261ec2-18d1-4411-af40-f747084b3c4c,"{'source': 'Томская область; Томск; р-н Кировский; улица Усова; 25В', 'result': 'г Томск, ул Усова, д 25В', 'postal_code': '634041', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'd8699c32-23f4-4c55-a891-ccff6ade3e06', 'street_kladr_id': '70000001000081800', 'street_with_type': 'ул Усова', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Усова', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': 'd4261ec2-18d1-4411-af40-f747084b3c4c', 'house_kladr_id': '7000000100008180201', 'house_cadnum': '70:21:0200024:622', 'house_type': 'д', 'house_type_full': 'дом', 'house': '25В', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '90867', 'flat_price': None, 'postal_box': None, 'fias_id': 'd4261ec2-18d1-4411-af40-f747084b3c4c', 'fias_code': '70000001000000008180201', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100008180201', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4632038', 'geo_lon': '84.9770979', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4632038,84.9770979,Усова,25В,0,"г Томск, ул Усова, д 25В",0,286789404
20,39c365fa-a7b4-4985-94a3-2b24cc766107,"{'source': 'Калининградская область; Калининград; р-н Московский; проспект Калинина; 111', 'result': 'г Калининград, пр-кт Калинина, д 111', 'postal_code': '236039', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Северо-Западный', 'region_fias_id': '90c7181e-724f-41b3-b6c6-bd3ec7ae3f30', 'region_kladr_id': '3900000000000', 'region_iso_code': 'RU-KGD', 'region_with_type': 'Калининградская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Калининградская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'df679694-d505-4dd3-b514-4ba48c8a97d8', 'city_kladr_id': '3900000100000', 'city_with_type': 'г Калининград', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Калининград', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Московский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Московский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'd6c79d59-c154-4ee5-bb0c-19ecd7312637', 'street_kladr_id': '39000001000032400', 'street_with_type': 'пр-кт Калинина', 'street_type': 'пр-кт', 'street_type_full': 'проспект', 'street': 'Калинина', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '39c365fa-a7b4-4985-94a3-2b24cc766107', 'house_kladr_id': '3900000100003240058', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '111', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': '39c365fa-a7b4-4985-94a3-2b24cc766107', 'fias_code': '39000001000000003240058', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '3900000100003240058', 'capital_marker': '2', 'okato': '27401373000', 'oktmo': '27701000001', 'tax_office': '3900', 'tax_office_legal': '3900', 'timezone': 'UTC+2', 'geo_lat': '54.6955099', 'geo_lon': '20.5176357', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",54.6955099,20.5176357,Калинина,111,0,"г Калининград, пр-кт Калинина, д 111",0,276643230
