,house_fias_id,data,geo_lat,geo_lon,street,house,qc,result,qc_geo,addr
0,409c7320-ec69-4ed2-a8b9-e3e273e594fe,"{'source': 'Краснодарский край; Новороссийск; улица Куникова; 47Ак2', 'result': 'Краснодарский край, г Новороссийск, ул Куникова, д 47А к 2', 'postal_code': '353920', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Южный', 'region_fias_id': 'd00e1013-16bd-4c09-b3d5-3cb09fc54bd8', 'region_kladr_id': '2300000000000', 'region_iso_code': 'RU-KDA', 'region_with_type': 'Краснодарский край', 'region_type': 'край', 'region_type_full': 'край', 'region': 'Краснодарский', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': '16ac039a-5257-4715-a8c5-d6bd9e617b53', 'city_kladr_id': '2300000600000', 'city_with_type': 'г Новороссийск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Новороссийск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'ac86bc41-d5fc-4d30-a102-7b4cbc3fc077', 'street_kladr_id': '23000006000017100', 'street_with_type': 'ул Куникова', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Куникова', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '409c7320-ec69-4ed2-a8b9-e3e273e594fe', 'house_kladr_id': '2300000600001710180', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '47А', 'block_type': 'к', 'block_type_full': 'корпус', 'block': '2', 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': '409c7320-ec69-4ed2-a8b9-e3e273e594fe', 'fias_code': '23000006000000001710180', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '2300000600001710180', 'capital_marker': '0', 'okato': '03420000000', 'oktmo': '03720000001', 'tax_office': '2315', 'tax_office_legal': '2315', 'timezone': 'UTC+3', 'geo_lat': '44.6923439', 'geo_lon': '37.7697428', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 1, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",44.6923439,37.7697428,Куникова,47А,0,"Краснодарский край, г Новороссийск, ул Куникова, д 47А к 2",1,Краснодарский край; Новороссийск; мкр. Центральный; улица Куникова; 47Ак2
1,,"{'source': 'Челябинская область; Челябинск; р-н Калининский; улица Братьев Кашириных; стр46', 'result': 'г Челябинск, ул Братьев Кашириных, стр 46', 'postal_code': None, 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Уральский', 'region_fias_id': '27eb7c10-a234-44da-a59c-8b1f864966de', 'region_kladr_id': '7400000000000', 'region_iso_code': 'RU-CHE', 'region_with_type': 'Челябинская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Челябинская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'a376e68d-724a-4472-be7c-891bdb09ae32', 'city_kladr_id': '7400000100000', 'city_with_type': 'г Челябинск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Челябинск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Калининский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Калининский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '366a5424-6ba8-4bc6-8d1f-0735fb4202e1', 'street_kladr_id': '74000001000011400', 'street_with_type': 'ул Братьев Кашириных', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Братьев Кашириных', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': None, 'house_kladr_id': None, 'house_cadnum': None, 'house_type': 'стр', 'house_type_full': 'строение', 'house': '46', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '67229', 'flat_price': None, 'postal_box': None, 'fias_id': '366a5424-6ba8-4bc6-8d1f-0735fb4202e1', 'fias_code': '74000001000000001140000', 'fias_level': '7', 'fias_actuality_state': '0', 'kladr_id': '74000001000011400', 'capital_marker': '2', 'okato': '75401364000', 'oktmo': '75701000001', 'tax_office': '7400', 'tax_office_legal': '7400', 'timezone': 'UTC+5', 'geo_lat': '55.1779245', 'geo_lon': '61.3306112', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 4, 'qc_house': 10, 'qc': 0, 'unparsed_parts': None, 'metro': None}",55.1779245,61.3306112,Братьев Кашириных,46,0,"г Челябинск, ул Братьев Кашириных, стр 46",0,Челябинская область; Челябинск; р-н Калининский; мкр. 3-й Академ Риверсайд; улица Братьев Кашириных; стр46
2,d9b1a45d-8bf5-4ab2-8d20-527e109fc2a7,"{'source': 'Краснодарский край; Краснодар; Прикубанский; улица Героев-Разведчиков; 11/3', 'result': 'г Краснодар, ул Героев-Разведчиков, д 11/3', 'postal_code': '350028', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Южный', 'region_fias_id': 'd00e1013-16bd-4c09-b3d5-3cb09fc54bd8', 'region_kladr_id': '2300000000000', 'region_iso_code': 'RU-KDA', 'region_with_type': 'Краснодарский край', 'region_type': 'край', 'region_type_full': 'край', 'region': 'Краснодарский', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': '7dfa745e-aa19-4688-b121-b655c11e482f', 'city_kladr_id': '2300000100000', 'city_with_type': 'г Краснодар', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Краснодар', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'a0c1d318-e64e-4976-b458-82f94829987c', 'street_kladr_id': '23000001000111700', 'street_with_type': 'ул Героев-Разведчиков', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Героев-Разведчиков', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': 'd9b1a45d-8bf5-4ab2-8d20-527e109fc2a7', 'house_kladr_id': '2300000100011170057', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '11/3', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '148641', 'flat_price': None, 'postal_box': None, 'fias_id': 'd9b1a45d-8bf5-4ab2-8d20-527e109fc2a7', 'fias_code': '23000001000000011170057', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '2300000100011170057', 'capital_marker': '2', 'okato': '03401000000', 'oktmo': '03701000001', 'tax_office': '2311', 'tax_office_legal': '2311', 'timezone': 'UTC+3', 'geo_lat': '45.053118', 'geo_lon': '39.036668', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",45.053118,39.036668,Героев-Разведчиков,11/3,0,"г Краснодар, ул Героев-Разведчиков, д 11/3",0,Краснодарский край; Краснодар; Прикубанский; улица Героев-Разведчиков; 11/3
3,f406c0f9-bf4f-4f25-8f10-035f93d1cea0,"{'source': 'Томская область; Томск; р-н Октябрьский; улица Ивана Черных; 26', 'result': 'г Томск, ул Ивана Черных, д 26', 'postal_code': '634049', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '321fbdfc-2651-4e8f-98e6-931835aef791', 'street_kladr_id': '70000001000085600', 'street_with_type': 'ул Ивана Черных', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Ивана Черных', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': 'f406c0f9-bf4f-4f25-8f10-035f93d1cea0', 'house_kladr_id': '7000000100008560258', 'house_cadnum': '70:21:0100031:602', 'house_type': 'д', 'house_type_full': 'дом', 'house': '26', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '71338', 'flat_price': None, 'postal_box': None, 'fias_id': 'f406c0f9-bf4f-4f25-8f10-035f93d1cea0', 'fias_code': '70000001000000008560258', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100008560258', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.5098271', 'geo_lon': '85.0181658', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.5098271,85.0181658,Ивана Черных,26,0,"г Томск, ул Ивана Черных, д 26",0,Томская область; Томск; р-н Октябрьский; улица Ивана Черных; 26
4,9e93ed59-a600-485a-9411-8386d5f07d11,"{'source': 'Томская область; Томск; р-н Кировский; улица Карташова; 45', 'result': 'г Томск, ул Карташова, д 45', 'postal_code': '634041', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '82f2e69e-eb74-4511-a6fc-eb118181bfbc', 'street_kladr_id': '70000001000031700', 'street_with_type': 'ул Карташова', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Карташова', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '9e93ed59-a600-485a-9411-8386d5f07d11', 'house_kladr_id': '7000000100003170167', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '45', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': '500.0', 'square_meter_price': '89062', 'flat_price': '44531000', 'postal_box': None, 'fias_id': '9e93ed59-a600-485a-9411-8386d5f07d11', 'fias_code': '70000001000000003170167', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100003170167', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.468638', 'geo_lon': '84.977676', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.468638,84.977676,Карташова,45,0,"г Томск, ул Карташова, д 45",0,Томская область; Томск; р-н Кировский; улица Карташова; 45
5,,"{'source': 'Краснодарский край; Краснодар; Прикубанский; Ростовское шоссе; 30/6', 'result': 'г Краснодар, снт Ростовское шоссе, д 30/6', 'postal_code': None, 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Южный', 'region_fias_id': 'd00e1013-16bd-4c09-b3d5-3cb09fc54bd8', 'region_kladr_id': '2300000000000', 'region_iso_code': 'RU-KDA', 'region_with_type': 'Краснодарский край', 'region_type': 'край', 'region_type_full': 'край', 'region': 'Краснодарский', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': '7dfa745e-aa19-4688-b121-b655c11e482f', 'city_kladr_id': '2300000100000', 'city_with_type': 'г Краснодар', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Краснодар', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'округ Западный', 'city_district_type': 'округ', 'city_district_type_full': 'округ', 'city_district': 'Западный', 'settlement_fias_id': '757f407a-efe9-429a-84d9-1e5c225ae25c', 'settlement_kladr_id': '23000001000193300', 'settlement_with_type': 'снт Ростовское шоссе', 'settlement_type': 'снт', 'settlement_type_full': 'садовое товарищество', 'settlement': 'Ростовское шоссе', 'street_fias_id': None, 'street_kladr_id': None, 'street_with_type': None, 'street_type': None, 'street_type_full': None, 'street': None, 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': None, 'house_kladr_id': None, 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '30/6', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': '757f407a-efe9-429a-84d9-1e5c225ae25c', 'fias_code': '23000001000193300000000', 'fias_level': '65', 'fias_actuality_state': '0', 'kladr_id': '23000001000193300', 'capital_marker': '2', 'okato': '03401364000', 'oktmo': '03701000001', 'tax_office': '2308', 'tax_office_legal': '2308', 'timezone': 'UTC+3', 'geo_lat': '45.0401604', 'geo_lon': '38.9759647', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 4, 'qc_complete': 9, 'qc_house': 10, 'qc': 3, 'unparsed_parts': None, 'metro': None}",45.0401604,38.9759647,,30/6,3,"г Краснодар, снт Ростовское шоссе, д 30/6",4,Краснодарский край; Краснодар; Прикубанский; мкр. РИП; Ростовское шоссе; 30/6
6,dddde772-63e4-421d-917f-51a77187bcb6,"{'source': 'Томская область; Томск; р-н Советский; Алтайская улица; 8/3', 'result': 'г Томск, ул Алтайская, д 8/3', 'postal_code': '634029', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'd222e231-f832-49bb-8b2f-3f12d45fc92a', 'street_kladr_id': '70000001000002000', 'street_with_type': 'ул Алтайская', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Алтайская', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': 'dddde772-63e4-421d-917f-51a77187bcb6', 'house_kladr_id': '7000000100000200549', 'house_cadnum': '70:21:0200004:8884', 'house_type': 'д', 'house_type_full': 'дом', 'house': '8/3', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '89872', 'flat_price': None, 'postal_box': None, 'fias_id': 'dddde772-63e4-421d-917f-51a77187bcb6', 'fias_code': '70000001000000000200549', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100000200549', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4822196', 'geo_lon': '84.963413', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4822196,84.963413,Алтайская,8/3,0,"г Томск, ул Алтайская, д 8/3",0,Томская область; Томск; р-н Советский; Алтайская улица; 8/3
7,,"{'source': 'Томская область; Томск; р-н Октябрьский; переулок Соляной; 28А/1', 'result': 'г Томск, пер Соляной, д 28А/1', 'postal_code': '634003', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'eb794fcd-8a92-464a-ac13-93d084a6e5d2', 'street_kladr_id': '70000001000072200', 'street_with_type': 'пер Соляной', 'street_type': 'пер', 'street_type_full': 'переулок', 'street': 'Соляной', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': None, 'house_kladr_id': None, 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '28А/1', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '136211', 'flat_price': None, 'postal_box': None, 'fias_id': 'eb794fcd-8a92-464a-ac13-93d084a6e5d2', 'fias_code': '70000001000000007220000', 'fias_level': '7', 'fias_actuality_state': '0', 'kladr_id': '70000001000072200', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.499037', 'geo_lon': '84.956973', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 1, 'qc_complete': 10, 'qc_house': 10, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.499037,84.956973,Соляной,28А/1,0,"г Томск, пер Соляной, д 28А/1",1,Томская область; Томск; р-н Октябрьский; мкр. Телецентр; переулок Соляной; 28А/1
8,09851c03-cd2d-4126-8ed0-51cb8d93604a,"{'source': 'Томская область; Томск; р-н Октябрьский; переулок Соляной; 28А', 'result': 'г Томск, пер Соляной, д 28А', 'postal_code': '634003', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'eb794fcd-8a92-464a-ac13-93d084a6e5d2', 'street_kladr_id': '70000001000072200', 'street_with_type': 'пер Соляной', 'street_type': 'пер', 'street_type_full': 'переулок', 'street': 'Соляной', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '09851c03-cd2d-4126-8ed0-51cb8d93604a', 'house_kladr_id': '7000000100007220018', 'house_cadnum': '70:21:0100051:5128', 'house_type': 'д', 'house_type_full': 'дом', 'house': '28А', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '137627', 'flat_price': None, 'postal_box': None, 'fias_id': '09851c03-cd2d-4126-8ed0-51cb8d93604a', 'fias_code': '70000001000000007220018', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '7000000100007220018', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4983826', 'geo_lon': '84.9571101', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4983826,84.9571101,Соляной,28А,0,"г Томск, пер Соляной, д 28А",0,Томская область; Томск; р-н Октябрьский; мкр. Телецентр; переулок Соляной; 28А
9,,"{'source': 'Новосибирская область; Новосибирск; р-н Заельцовский; м. Заельцовская; Русское солнце ЖК; 6', 'result': 'г Новосибирск', 'postal_code': '630000', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '1ac46b49-3209-4814-b7bf-a509ea1aecd9', 'region_kladr_id': '5400000000000', 'region_iso_code': 'RU-NVS', 'region_with_type': 'Новосибирская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Новосибирская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': '8dea00e3-9aab-4d8e-887c-ef2aaa546456', 'city_kladr_id': '5400000100000', 'city_with_type': 'г Новосибирск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Новосибирск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': None, 'street_kladr_id': None, 'street_with_type': None, 'street_type': None, 'street_type_full': None, 'street': None, 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': None, 'house_kladr_id': None, 'house_cadnum': None, 'house_type': None, 'house_type_full': None, 'house': None, 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': '8dea00e3-9aab-4d8e-887c-ef2aaa546456', 'fias_code': '54000001000000000000000', 'fias_level': '4', 'fias_actuality_state': '0', 'kladr_id': '5400000100000', 'capital_marker': '2', 'okato': '50401000000', 'oktmo': '50701000001', 'tax_office': '5400', 'tax_office_legal': '5400', 'timezone': 'UTC+7', 'geo_lat': '55.028191', 'geo_lon': '82.9211489', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 4, 'qc_complete': 3, 'qc_house': 10, 'qc': 1, 'unparsed_parts': 'ЗАЕЛЬЦОВСКАЯ, РУССКОЕ СОЛНЦЕ ЖК, 6', 'metro': None}",55.028191,82.9211489,,,1,г Новосибирск,4,Новосибирская область; Новосибирск; р-н Заельцовский; м. Заельцовская; Русское солнце ЖК; 6
