,house_fias_id,data,geo_lat,geo_lon,street,house,qc,result,qc_geo,addr,parsed_now
0,b96e17e4-77fb-4c50-a91f-160f8b30c571,"{'source': 'Саратовская область; Саратов; р-н Кировский; Крайняя улица; 87А', 'result': 'г Саратов, ул Крайняя, д 87А', 'postal_code': '410012', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Приволжский', 'region_fias_id': 'df594e0e-a935-4664-9d26-0bae13f904fe', 'region_kladr_id': '6400000000000', 'region_iso_code': 'RU-SAR', 'region_with_type': 'Саратовская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Саратовская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'bf465fda-7834-47d5-986b-ccdb584a85a6', 'city_kladr_id': '6400000100000', 'city_with_type': 'г Саратов', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Саратов', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Кировский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Кировский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '0932fa87-50ab-43d0-9139-5b5b3692c45f', 'street_kladr_id': '64000001000054200', 'street_with_type': 'ул Крайняя', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Крайняя', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': 'b96e17e4-77fb-4c50-a91f-160f8b30c571', 'house_kladr_id': '6400000100005420261', 'house_cadnum': '64:48:030336:1582', 'house_type': 'д', 'house_type_full': 'дом', 'house': '87А', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': 'b96e17e4-77fb-4c50-a91f-160f8b30c571', 'fias_code': '64000001000000005420261', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '6400000100005420261', 'capital_marker': '2', 'okato': '63401372000', 'oktmo': '63701000001', 'tax_office': '6450', 'tax_office_legal': '6450', 'timezone': 'UTC+4', 'geo_lat': '51.5535295', 'geo_lon': '46.0185728', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 2, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",51.5535295,46.0185728,Крайняя,87А,0.0,"г Саратов, ул Крайняя, д 87А",2.0,Саратовская область; Саратов; р-н Кировский; Крайняя улица; 87А,False
1,37be5f8d-4c17-4d4a-bdd8-1badadbb4020,"{'source': 'Саратовская область; Саратов; р-н Октябрьский; улица Дома 8 Марта; 1', 'result': 'г Саратов, ул Дома 8 Марта, д 1', 'postal_code': '410017', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Приволжский', 'region_fias_id': 'df594e0e-a935-4664-9d26-0bae13f904fe', 'region_kladr_id': '6400000000000', 'region_iso_code': 'RU-SAR', 'region_with_type': 'Саратовская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Саратовская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'bf465fda-7834-47d5-986b-ccdb584a85a6', 'city_kladr_id': '6400000100000', 'city_with_type': 'г Саратов', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Саратов', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Октябрьский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Октябрьский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '5d711b18-3895-4a1e-910a-e3d01caea179', 'street_kladr_id': '64000001000035700', 'street_with_type': 'ул Дома 8 Марта', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Дома 8 Марта', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '37be5f8d-4c17-4d4a-bdd8-1badadbb4020', 'house_kladr_id': '6400000100003570001', 'house_cadnum': '64:48:050384:45', 'house_type': 'д', 'house_type_full': 'дом', 'house': '1', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '54850', 'flat_price': None, 'postal_box': None, 'fias_id': '37be5f8d-4c17-4d4a-bdd8-1badadbb4020', 'fias_code': '64000001000000003570001', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '6400000100003570001', 'capital_marker': '2', 'okato': '63401380000', 'oktmo': '63701000001', 'tax_office': '6451', 'tax_office_legal': '6451', 'timezone': 'UTC+4', 'geo_lat': '51.5221345', 'geo_lon': '46.0056363', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",51.5221345,46.0056363,Дома 8 Марта,1,0.0,"г Саратов, ул Дома 8 Марта, д 1",0.0,Саратовская область; Саратов; р-н Октябрьский; улица Дома 8 Марта; 1,False
2,09d8d4d3-40b5-4f02-82dc-f8405f557c15,"{'source': 'Саратовская область; Саратов; р-н Октябрьский; Новоузенская улица; 149', 'result': 'г Саратов, ул Новоузенская, д 149', 'postal_code': '410054', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Приволжский', 'region_fias_id': 'df594e0e-a935-4664-9d26-0bae13f904fe', 'region_kladr_id': '6400000000000', 'region_iso_code': 'RU-SAR', 'region_with_type': 'Саратовская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Саратовская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'bf465fda-7834-47d5-986b-ccdb584a85a6', 'city_kladr_id': '6400000100000', 'city_with_type': 'г Саратов', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Саратов', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Октябрьский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Октябрьский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'fc239d9a-b011-42b1-97d7-31162ff054ad', 'street_kladr_id': '64000001000082400', 'street_with_type': 'ул Новоузенская', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Новоузенская', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '09d8d4d3-40b5-4f02-82dc-f8405f557c15', 'house_kladr_id': '6400000100008240090', 'house_cadnum': '64:48:060125:337', 'house_type': 'д', 'house_type_full': 'дом', 'house': '149', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '45842', 'flat_price': None, 'postal_box': None, 'fias_id': '09d8d4d3-40b5-4f02-82dc-f8405f557c15', 'fias_code': '64000001000000008240090', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '6400000100008240090', 'capital_marker': '2', 'okato': '63401380000', 'oktmo': '63701000001', 'tax_office': '6451', 'tax_office_legal': '6451', 'timezone': 'UTC+4', 'geo_lat': '51.5348474', 'geo_lon': '45.975572', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",51.5348474,45.975572,Новоузенская,149,0.0,"г Саратов, ул Новоузенская, д 149",0.0,Саратовская область; Саратов; р-н Октябрьский; мкр. Клинический; Новоузенская улица; 149,False
3,bd82346c-481c-4171-a330-55cd1075d22d,"{'source': 'Саратовская область; Саратов; р-н Заводской; улица Имени В.М. Азина; 31А', 'result': 'г Саратов, ул им Азина В.М., д 31А', 'postal_code': '410022', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Приволжский', 'region_fias_id': 'df594e0e-a935-4664-9d26-0bae13f904fe', 'region_kladr_id': '6400000000000', 'region_iso_code': 'RU-SAR', 'region_with_type': 'Саратовская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Саратовская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'bf465fda-7834-47d5-986b-ccdb584a85a6', 'city_kladr_id': '6400000100000', 'city_with_type': 'г Саратов', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Саратов', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Заводской', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Заводской', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '7c32be9d-3a93-4332-909e-db559a75da4e', 'street_kladr_id': '64000001000003400', 'street_with_type': 'ул им Азина В.М.', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'им Азина В.М.', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': 'bd82346c-481c-4171-a330-55cd1075d22d', 'house_kladr_id': '6400000100000340101', 'house_cadnum': '64:48:020357:40', 'house_type': 'д', 'house_type_full': 'дом', 'house': '31А', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': 'bd82346c-481c-4171-a330-55cd1075d22d', 'fias_code': '64000001000000000340101', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '6400000100000340101', 'capital_marker': '2', 'okato': '63401368000', 'oktmo': '63701000001', 'tax_office': '6451', 'tax_office_legal': '6451', 'timezone': 'UTC+4', 'geo_lat': '51.4726608', 'geo_lon': '45.9193767', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",51.4726608,45.9193767,им Азина В.М.,31А,0.0,"г Саратов, ул им Азина В.М., д 31А",0.0,Саратовская область; Саратов; р-н Заводской; улица Имени В.М. Азина; 31А,True
4,483e72f5-827d-4a57-bde1-b7501d3522a9,"{'source': 'Саратовская область; Саратов; р-н Волжский; Соколовая улица; 78', 'result': 'г Саратов, ул Соколовая, д 78', 'postal_code': '410031', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Приволжский', 'region_fias_id': 'df594e0e-a935-4664-9d26-0bae13f904fe', 'region_kladr_id': '6400000000000', 'region_iso_code': 'RU-SAR', 'region_with_type': 'Саратовская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Саратовская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'bf465fda-7834-47d5-986b-ccdb584a85a6', 'city_kladr_id': '6400000100000', 'city_with_type': 'г Саратов', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Саратов', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Волжский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Волжский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'e4c67e9b-21fb-4a62-b7cc-b6d8a80671b5', 'street_kladr_id': '64000001000117900', 'street_with_type': 'ул Соколовая', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Соколовая', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '483e72f5-827d-4a57-bde1-b7501d3522a9', 'house_kladr_id': '6400000100011790142', 'house_cadnum': '64:48:010224:201', 'house_type': 'д', 'house_type_full': 'дом', 'house': '78', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '40469', 'flat_price': None, 'postal_box': None, 'fias_id': '483e72f5-827d-4a57-bde1-b7501d3522a9', 'fias_code': '64000001000000011790142', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '6400000100011790142', 'capital_marker': '2', 'okato': '63401364000', 'oktmo': '63701000001', 'tax_office': '6450', 'tax_office_legal': '6450', 'timezone': 'UTC+4', 'geo_lat': '51.5369721', 'geo_lon': '46.0569772', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",51.5369721,46.0569772,Соколовая,78,0.0,"г Саратов, ул Соколовая, д 78",0.0,Саратовская область; Саратов; р-н Волжский; Соколовая улица; 78,False
5,21bad845-a8d0-4b9d-8fa2-26b1c843ef48,"{'source': 'Саратовская область; Саратов; р-н Кировский; улица Имени И.Н. Посадского; 169', 'result': 'г Саратов, ул им Посадского И.Н., д 169', 'postal_code': '410005', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Приволжский', 'region_fias_id': 'df594e0e-a935-4664-9d26-0bae13f904fe', 'region_kladr_id': '6400000000000', 'region_iso_code': 'RU-SAR', 'region_with_type': 'Саратовская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Саратовская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'bf465fda-7834-47d5-986b-ccdb584a85a6', 'city_kladr_id': '6400000100000', 'city_with_type': 'г Саратов', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Саратов', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Кировский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Кировский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '5d949fbd-4336-4fd8-be44-b363658b7fac', 'street_kladr_id': '64000001000098800', 'street_with_type': 'ул им Посадского И.Н.', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'им Посадского И.Н.', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '21bad845-a8d0-4b9d-8fa2-26b1c843ef48', 'house_kladr_id': '6400000100009880068', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '169', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': '21bad845-a8d0-4b9d-8fa2-26b1c843ef48', 'fias_code': '64000001000000009880068', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '6400000100009880068', 'capital_marker': '2', 'okato': '63401372000', 'oktmo': '63701000001', 'tax_office': '6450', 'tax_office_legal': '6450', 'timezone': 'UTC+4', 'geo_lat': '51.5416846', 'geo_lon': '46.0281671', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",51.5416846,46.0281671,им Посадского И.Н.,169,0.0,"г Саратов, ул им Посадского И.Н., д 169",0.0,Саратовская область; Саратов; р-н Кировский; улица Имени И.Н. Посадского; 169,True
6,4c8f3e98-3779-4ac2-9d54-fdb33f1ffaea,"{'source': 'Саратовская область; Саратов; р-н Заводской; улица Имени А.В. Плякина; 3', 'result': 'г Саратов, ул им Плякина А.В., д 3', 'postal_code': '410015', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Приволжский', 'region_fias_id': 'df594e0e-a935-4664-9d26-0bae13f904fe', 'region_kladr_id': '6400000000000', 'region_iso_code': 'RU-SAR', 'region_with_type': 'Саратовская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Саратовская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'bf465fda-7834-47d5-986b-ccdb584a85a6', 'city_kladr_id': '6400000100000', 'city_with_type': 'г Саратов', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Саратов', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Заводской', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Заводской', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '59454cb0-4569-4641-bf39-d74d6649256b', 'street_kladr_id': '64000001000633500', 'street_with_type': 'ул им Плякина А.В.', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'им Плякина А.В.', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '4c8f3e98-3779-4ac2-9d54-fdb33f1ffaea', 'house_kladr_id': '6400000100063350002', 'house_cadnum': '64:48:020314:2221', 'house_type': 'д', 'house_type_full': 'дом', 'house': '3', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '55701', 'flat_price': None, 'postal_box': None, 'fias_id': '4c8f3e98-3779-4ac2-9d54-fdb33f1ffaea', 'fias_code': '64000001000000063350002', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '6400000100063350002', 'capital_marker': '2', 'okato': '63401368000', 'oktmo': '63701000001', 'tax_office': '6451', 'tax_office_legal': '6451', 'timezone': 'UTC+4', 'geo_lat': '51.4993051', 'geo_lon': '45.9571136', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",51.4993051,45.9571136,им Плякина А.В.,3,0.0,"г Саратов, ул им Плякина А.В., д 3",0.0,Саратовская область; Саратов; р-н Заводской; улица Имени А.В. Плякина; 3,True
7,54401c5e-cce1-4b35-a909-fe2fdcf5cb87,"{'source': 'Саратовская область; Саратов; р-н Ленинский; улица Имени В.И. Лебедева-Кумача; 84А', 'result': 'г Саратов, ул им Лебедева-Кумача В.И., д 84А', 'postal_code': '410064', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Приволжский', 'region_fias_id': 'df594e0e-a935-4664-9d26-0bae13f904fe', 'region_kladr_id': '6400000000000', 'region_iso_code': 'RU-SAR', 'region_with_type': 'Саратовская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Саратовская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'bf465fda-7834-47d5-986b-ccdb584a85a6', 'city_kladr_id': '6400000100000', 'city_with_type': 'г Саратов', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Саратов', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Ленинский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Ленинский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'b2147b06-93d0-465d-9ac2-cc956aa17da6', 'street_kladr_id': '64000001000059700', 'street_with_type': 'ул им Лебедева-Кумача В.И.', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'им Лебедева-Кумача В.И.', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': '54401c5e-cce1-4b35-a909-fe2fdcf5cb87', 'house_kladr_id': '6400000100005970096', 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '84А', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': '50606', 'flat_price': None, 'postal_box': None, 'fias_id': '54401c5e-cce1-4b35-a909-fe2fdcf5cb87', 'fias_code': '64000001000000005970096', 'fias_level': '8', 'fias_actuality_state': '0', 'kladr_id': '6400000100005970096', 'capital_marker': '2', 'okato': '63401376000', 'oktmo': '63701000001', 'tax_office': '6453', 'tax_office_legal': '6453', 'timezone': 'UTC+4', 'geo_lat': '51.6130403', 'geo_lon': '45.9835463', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 0, 'qc_complete': 5, 'qc_house': 2, 'qc': 0, 'unparsed_parts': None, 'metro': None}",51.6130403,45.9835463,им Лебедева-Кумача В.И.,84А,0.0,"г Саратов, ул им Лебедева-Кумача В.И., д 84А",0.0,Саратовская область; Саратов; р-н Ленинский; улица Имени В.И. Лебедева-Кумача; 84А,True
8,,"{'source': 'Саратовская область; Саратов; р-н Кировский; улица Имени Академика Н.Н. Семенова; 19', 'result': 'г Саратов, ул им Академика Семенова Н.Н., д 19', 'postal_code': '410030', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Приволжский', 'region_fias_id': 'df594e0e-a935-4664-9d26-0bae13f904fe', 'region_kladr_id': '6400000000000', 'region_iso_code': 'RU-SAR', 'region_with_type': 'Саратовская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Саратовская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'bf465fda-7834-47d5-986b-ccdb584a85a6', 'city_kladr_id': '6400000100000', 'city_with_type': 'г Саратов', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Саратов', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': 'р-н Кировский', 'city_district_type': 'р-н', 'city_district_type_full': 'район', 'city_district': 'Кировский', 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': 'd8225ce6-36f4-474c-a27d-2534301ea4c1', 'street_kladr_id': '64000001000628400', 'street_with_type': 'ул им Академика Семенова Н.Н.', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'им Академика Семенова Н.Н.', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': None, 'house_kladr_id': None, 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '19', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': 'd8225ce6-36f4-474c-a27d-2534301ea4c1', 'fias_code': '64000001000000062840000', 'fias_level': '7', 'fias_actuality_state': '0', 'kladr_id': '64000001000628400', 'capital_marker': '2', 'okato': '63401372000', 'oktmo': '63701000001', 'tax_office': '6450', 'tax_office_legal': '6450', 'timezone': 'UTC+4', 'geo_lat': '51.6009253', 'geo_lon': '46.0192131', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 2, 'qc_complete': 10, 'qc_house': 10, 'qc': 0, 'unparsed_parts': None, 'metro': None}",51.6009253,46.0192131,им Академика Семенова Н.Н.,19,0.0,"г Саратов, ул им Академика Семенова Н.Н., д 19",2.0,Саратовская область; Саратов; р-н Кировский; улица Имени Академика Н.Н. Семенова; 19,False
9,,"{'source': 'Томская область; Томск; р-н Советский; Сибирская улица; 74', 'result': 'г Томск, ул Сибирская, д 74', 'postal_code': '634021', 'country': 'Россия', 'country_iso_code': 'RU', 'federal_district': 'Сибирский', 'region_fias_id': '889b1f3a-98aa-40fc-9d3d-0f41192758ab', 'region_kladr_id': '7000000000000', 'region_iso_code': 'RU-TOM', 'region_with_type': 'Томская обл', 'region_type': 'обл', 'region_type_full': 'область', 'region': 'Томская', 'area_fias_id': None, 'area_kladr_id': None, 'area_with_type': None, 'area_type': None, 'area_type_full': None, 'area': None, 'city_fias_id': 'e3b0eae8-a4ce-4779-ae04-5c0797de66be', 'city_kladr_id': '7000000100000', 'city_with_type': 'г Томск', 'city_type': 'г', 'city_type_full': 'город', 'city': 'Томск', 'city_area': None, 'city_district_fias_id': None, 'city_district_kladr_id': None, 'city_district_with_type': None, 'city_district_type': None, 'city_district_type_full': None, 'city_district': None, 'settlement_fias_id': None, 'settlement_kladr_id': None, 'settlement_with_type': None, 'settlement_type': None, 'settlement_type_full': None, 'settlement': None, 'street_fias_id': '25cd6935-6515-47b9-9345-84d1d97e71d5', 'street_kladr_id': '70000001000070500', 'street_with_type': 'ул Сибирская', 'street_type': 'ул', 'street_type_full': 'улица', 'street': 'Сибирская', 'stead_fias_id': None, 'stead_kladr_id': None, 'stead_cadnum': None, 'stead_type': None, 'stead_type_full': None, 'stead': None, 'house_fias_id': None, 'house_kladr_id': None, 'house_cadnum': None, 'house_type': 'д', 'house_type_full': 'дом', 'house': '74', 'block_type': None, 'block_type_full': None, 'block': None, 'entrance': None, 'floor': None, 'flat_fias_id': None, 'flat_cadnum': None, 'flat_type': None, 'flat_type_full': None, 'flat': None, 'flat_area': None, 'square_meter_price': None, 'flat_price': None, 'postal_box': None, 'fias_id': '25cd6935-6515-47b9-9345-84d1d97e71d5', 'fias_code': '70000001000000007050000', 'fias_level': '7', 'fias_actuality_state': '0', 'kladr_id': '70000001000070500', 'capital_marker': '2', 'okato': '69401000000', 'oktmo': '69701000001', 'tax_office': '7000', 'tax_office_legal': '7000', 'timezone': 'UTC+7', 'geo_lat': '56.4825644', 'geo_lon': '84.9909717', 'beltway_hit': None, 'beltway_distance': None, 'qc_geo': 1, 'qc_complete': 10, 'qc_house': 10, 'qc': 0, 'unparsed_parts': None, 'metro': None}",56.4825644,84.9909717,Сибирская,74,0.0,"г Томск, ул Сибирская, д 74",1.0,Томская область; Томск; р-н Советский; Сибирская улица; 74,False
